"GIF","","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF","GIF"
"Poll","","Poll","Anketa","Poll","Poll","Poll","Poll","Poll","Sondage","Poll","Poll","Poll","投票","Poll","Głosowanie","Enquete","Poll","Poll","Poll","Encuesta","Poll"
"Choose a column type to add","","Choose a column type to add","Odaberite vrstu stupca za dodavanje","Choose a column type to add","Choose a column type to add","Choose a column type to add","Choose a column type to add","Choose a column type to add","Choisissez un type de colonne à ajouter","Choose a column type to add","Choose a column type to add","Choose a column type to add","追加するカラムの選択","Choose a column type to add","Wybierz typ dodawanej kolumny","Escolha um tipo de coluna para adicionar","Choose a column type to add","Choose a column type to add","Choose a column type to add","Elige un tipo de columna para añadir","Choose a column type to add"
"You have already added this column","","Тази колона е вече добавена","Već ste dodali ovaj stupac","You have already added this column","You have already added this column","You have already added this column","You have already added this column","You have already added this column","Vous avez déjà ajouté cette colonne","You have already added this column","You have already added this column","You have already added this column","このカラムはすでに追加されています","You have already added this column","You have already added this column","Você já adicionou esta coluna","You have already added this column","You have already added this column","You have already added this column","Ya has agregado esta columna","You have already added this column"
"Back","","Назад","Natrag","Back","Back","Back","Back","Back","Retour","Back","Back","Back","戻る","Back","Back","Voltar","Back","Back","Back","Regresar","Back"
"Accessing direct messages","","Accessing direct messages","Pristupanje izravnim porukama","Accessing direct messages","Accessing direct messages","Accessing direct messages","Accessing direct messages","Accessing direct messages","Accès aux messages privés","Accessing direct messages","Accessing direct messages","Accessing direct messages","ダイレクトメッセージへのアクセス","Accessing direct messages","Accessing direct messages","Acessando mensagens diretas","Accessing direct messages","Accessing direct messages","Accessing direct messages","Acceder a los mensajes directos","Accessing direct messages"
"Continue","","Продължи","Nastavi","Continue","Continue","Continue","Continue","Continue","Continuer","Continue","Continue","Continue","続ける","Continue","Kontynuuj","Continuar","Continue","Continue","Continue","Continuar","Continue"
"Team members","","Team members","Članovi tima","Team members","Team members","Team members","Team members","Team members","Membre de l'équipe","Team members","Team members","Team members","チームメンバー","Team members","Team members","Membros da equipe","Team members","Team members","Team members","Miembros del equipo","Team members"
"Change role","","Change role","Promjeni ulogu","Change role","Change role","Change role","Change role","Change role","Modifier le rôle","Change role","Change role","Change role","権限の変更","Change role","Zmień rolę","Alterar cargo","Change role","Change role","Change role","Cambiar rol","Change role"
"Read more about teams.","","Read more about teams.","Pročitaj više o timovima.","Read more about teams.","Read more about teams.","Read more about teams.","Read more about teams.","Read more about teams.","En savoir plus.","Read more about teams.","Read more about teams.","Read more about teams.","チームの詳細はこちら","Read more about teams.","Read more about teams.","Leia mais sobre as equipes.","Read more about teams.","Read more about teams.","Read more about teams.","Leer más sobre los equipos.","Read more about teams."
"Warning: You will no longer be able to manage the team from this TweetDeck","","Warning: You will no longer be able to manage the team from this TweetDeck","Upozorenje: Više nećete biti u mogućnosti upravljati tim s ovog TweetDeck-a","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Attention: Vous ne serez plus capable de gérer l'équipe depuis TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","注意: この TweetDeck からチームを管理することはできなくなります","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Aviso: Você já não será capaz de gerenciar a equipe a partir deste TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck","Advertencia: Ya no podrás administrar el equipo desde este TweetDeck","Warning: You will no longer be able to manage the team from this TweetDeck"
"Authorize","","Разреши","Dopusti","Authorize","Authorize","Authorise","Authorize","Authorize","Autoriser","Authorize","Authorize","Authorize","許可する","Authorize","Autoryzuj","Autorizar","Authorize","Authorize","Authorize","Autorizar","Authorize"
"Liking and Retweeting","","Liking and Retweeting","Liking and Retweeting","Liking and Retweeting","Liking and Retweeting","Liking and Retweeting","Liking and Retweeting","Liking and "Retweeting","Aimer et Retweeter","Liking and Retweeting","Liking and Retweeting","Liking and Retweeting","いいねとリツイートをする","Liking and Retweeting","Liking and Retweeting","Curtindo e "Retweetando","Liking and Retweeting","Liking and Retweeting","Liking and Retweeting","Hacer Me Gusta y Retwittear","Liking and Retweeting"
"Posting Tweets","","Posting Tweets","Objavljivanje Tweetova","Posting Tweets","Posting Tweets","Posting Tweets","Posting Tweets","Posting Tweets","Envoyer des Tweets","Posting Tweets","Posting Tweets","Posting Tweets","ツイートの投稿","Posting Tweets","Posting Tweets","Postando Tweets","Posting Tweets","Posting Tweets","Posting Tweets","Publicar Tweets","Posting Tweets"
"This user will be able to use Twitter as @{{contributee.getUsername}}, including:,"","This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""Ovaj korisnik biti će u mogućnosti koristiti Twitter kao @{{contributee.getUsername}}"," uključujući:"","This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"","This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"","This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"","This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""Cet·te utilisateur·ice sera capable d'utiliser Twitter en tant que @{{contributee.getUsername}}"," cela inclus également:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"","このユーザーは @{{contributee.getUsername}} として Twitter を使用して以下のことができるようになります。",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""Este usuário será capaz de usar o Twitter como @{{contributee.getUsername}}"," incluindo:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:"",""Este usuario podrá usar Twitter como @{{contributee.getUsername}}"," lo que incluye:"",""This user will be able to use Twitter as @{{contributee.getUsername}}"," including:""
